Sports_tags,number,overlap_num,overlap_word
[none],152,0,[]
축구,133,26,"['베트남축구', '한국축구', '해외축구갤러리', '베트남축구결승', '베트남축구카퍼레이드', '축구연구소', '축구연구', '젠가축구', '박항서축구', '동아시안컵축구한국-중국', '축구동영상', '축구스페셜', '박항서베트남축구', '해외축구', 'ffan축구', '축구기술', '소림축구', '#축구', '일본브라질축구', '브라질일본축구', '한국콜롬비아축구', '대한축구협회', '축구열풍', '버스축구', '축구하이라이트', '축구영상']"
손흥민,82,29,"['손흥민골', '손흥민스페셜', '손흥민하이라이트', '윤성빈스켈레톤평창올림픽김연아손흥민아이언맨', '손흥민볼터치', '손흥민본머스', '손흥민본머스볼터치', '손흥민vs본머스', '손흥민vs본머스볼터치', '손흥민슛', '손흥민개인기', '손흥민에버튼전', '손흥민에버튼', '손흥민리그8호골', '손흥민드리블', '손흥민슈팅', '손흥민아포엘전', '손흥민콜롬비아', '델리알일손흥민핸드쉐이크', '헤리케인손흥민', '손흥민스토크', '손흥민신기록', '델리알리손흥민', '손흥민토트넘골', '손흥민중거리슛', '에릭센손흥민', '손흥민활약', '손흥민스토크시티', '손흥민스토크전']"
highlights,72,141,"['gamehighlights', 'nbahighlights', 'mlghighlights', 'fullgamehighlights', 'rapidhighlights', 'allgoals&highlightscommentary', 'alletore&highlightsmitkommentar', 'goalsandhighlights', 'tuttiigoleglihighlightscommentati', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'clevelandcavaliersvsbostoncelticshighlights', 'cavaliersvscelticsfullgamehighlights', 'raptorsvscavaliersfullgamehighlights', 'clevelandcavaliersvstorontoraptorshighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'cavaliersvsraptorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicanshighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'gswarriorsvspelicansfullgamehighlights', 'nbahighlights2018', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvsspursfullgamehighlights', 'goldenstatewarriorsvssanantoniospurshighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'spursvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbostoncelticshighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'mlb2018highlights', 'mlbhighlights2018', 'cavaliersvspacersfullgamehighlights', 'baseballhighlights', 'pacersvscavaliersfullgamehighlights', 'clevelandcavaliersvsindianapacershighlights', 'warriorsvscelticsfullgamehighlights', 'hdhighlights', 'mlbhighlights', 'chighlights', 'hyun-jinryuhighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'cavaliersvshawksfullgamehighlights', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'clevelandcavaliersvsatlantahawkshighlights', 'germanyvsfrancefullmatch-highlights&goals', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'gswarriorsvsokcthunderfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorshighlights', 'okcthundervsgswarriorsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'mavericksvsgswarriorsfullgamehighlights', 'warriorsvscavaliersfullgamehighlights', 'cavaliersvswarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'gswarriorsvsmavericksfullgamehighlights', 'goldenstatewarriorsvsdallasmaverickshighlights', 'clevelandcavaliersvsgoldenstatewarriorshighlights', 'cavaliersvsgswarriorsfullgamehighlights', 'gswarriorsvscavaliersfullgamehighlights', 'valenciavsbarcelonahighlights', 'barcelonahighlights', 'valenciahighlights', 'bostoncelticsvsmilwaukeebuckshighlights', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'raptorsvscavsgame4fullgamehighlights', 'game3fullhighlights', '2019finalsgame3cavswarriorsfullhighlights', 'milwaukeebucksvsbostoncelticshighlights', 'goldenstatewarriorsvshoustonrocketshighlights', 'rocketsvsgswarriorsfullgamehighlights', 'gswarriorsvsrocketsfullgamehighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'spursvswarriorsgame5highlights', 'sixersvscelticsfullgamehighlights', 'bostoncelticsvsphiladelphiasixershighlights', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'gmae7westfinalsgullhighlights', 'warriorsvsrocketsgame7highlights', 'fullgamehighlightsgame7', 'clevelandcavaliersvssacramentokingshighlights', 'goldenstatewarriorsvsnewyorkknickshighlights', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'gswarriorsvsknicksfullgamehighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'cavaliersvskingsfullgamehighlights', 'knicksvsgswarriorsfullgamehighlights', '#vietnamhighlights', 'cavaliersvsmagicfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'magicvscavaliersfullgamehighlights', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights', 'kingsvscavaliersfullgamehighlights', 'stayhighlights', 'warriorsvsbullsfullgamehighlights', 'goldenstatewarriorsvschicagobullshighlights', 'bullsvswarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'barcelonavsceltavigo4-0allgoals&highlights', 'celtavigovsbarcelona0-4highlights', 'celtavigovsbarcelonahighlights', 'hawksvscavaliersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'sixersvscavaliersfullgamehighlights', 'cavaliersvssixersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixershighlights', 'postgamehighlights', 'patshighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'thundervscavaliersfullgamehighlights', 'cavaliersvsthunderfullgamehighlights', 'oklahomacitythundervsclevelandcavaliershighlights', 'extendedhighlights', 'atleticomadridhighlights', 'atleticomadridvsrealmadridhighlights', 'cavaliersvsknicksfullgamehighlights', 'clevelandcavaliersvsnewyorkknickshighlights', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'gswarriorsvshawksfullgamehighlights', 'hawksvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsatlantahawkshighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'cavaliersvshornetsfullgamehighlights', 'clevelandcavaliersvscharlottehornetshighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'warriorsvsheatfullgamehighlights', 'goldenstatewarriorsvsmiamiheathighlights', 'nuggetsvscavaliersfullgamehighlights', 'clevelandcavaliersvsdenvernuggetshighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights', 'cavaliersvsnuggetsfullgamehighlights', 'netsvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbrooklynnetshighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights', 'realmadridhighlights', 'gswarriorsvsnetsfullgamehighlights']"
nba,67,10,"['nbahighlights', 'nbaplayoffs', '2018nbaplayoffs', 'nbahighlights2018', '2018nbafinals', 'nbaplayoffsround2', 'nbaplayoffsconferencesemifinals', 'nbaplayoffsround1', 'nbafinals', 'nbabstory']"
sports,63,2,"['mbcsportsplus', 'allthatsports']"
spotv,60,1,['bearspotv']
gamehighlights,58,81,"['fullgamehighlights', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'cavaliersvscelticsfullgamehighlights', 'raptorsvscavaliersfullgamehighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'cavaliersvsraptorsfullgamehighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'gswarriorsvspelicansfullgamehighlights', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvsspursfullgamehighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'spursvsgswarriorsfullgamehighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'cavaliersvspacersfullgamehighlights', 'pacersvscavaliersfullgamehighlights', 'warriorsvscelticsfullgamehighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'cavaliersvshawksfullgamehighlights', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'gswarriorsvsokcthunderfullgamehighlights', 'okcthundervsgswarriorsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'mavericksvsgswarriorsfullgamehighlights', 'warriorsvscavaliersfullgamehighlights', 'cavaliersvswarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'gswarriorsvsmavericksfullgamehighlights', 'cavaliersvsgswarriorsfullgamehighlights', 'gswarriorsvscavaliersfullgamehighlights', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'raptorsvscavsgame4fullgamehighlights', 'rocketsvsgswarriorsfullgamehighlights', 'gswarriorsvsrocketsfullgamehighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'sixersvscelticsfullgamehighlights', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'fullgamehighlightsgame7', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'gswarriorsvsknicksfullgamehighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'cavaliersvskingsfullgamehighlights', 'knicksvsgswarriorsfullgamehighlights', 'cavaliersvsmagicfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'magicvscavaliersfullgamehighlights', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights', 'kingsvscavaliersfullgamehighlights', 'warriorsvsbullsfullgamehighlights', 'bullsvswarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'hawksvscavaliersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'sixersvscavaliersfullgamehighlights', 'cavaliersvssixersfullgamehighlights', 'postgamehighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'thundervscavaliersfullgamehighlights', 'cavaliersvsthunderfullgamehighlights', 'cavaliersvsknicksfullgamehighlights', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'gswarriorsvshawksfullgamehighlights', 'hawksvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'cavaliersvshornetsfullgamehighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'warriorsvsheatfullgamehighlights', 'nuggetsvscavaliersfullgamehighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights', 'cavaliersvsnuggetsfullgamehighlights', 'netsvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights', 'gswarriorsvsnetsfullgamehighlights']"
basketball,57,1,['dudeperfectbasketball']
nbahighlights,55,1,['nbahighlights2018']
