Nonprofit_tags,number,overlap_num,overlap_word
법륜스님,180,0,[]
즉문즉설,174,1,['해외즉문즉설']
수행,127,10,"['개인수행', '긴장과수행', '수행자', '수행은마음으로', '수행자의삶의지침', '수행이란', '수행은육체의노동이아니다', '마음수행', '자기수행', '수행법회']"
깨달음,116,0,[]
불교,113,0,[]
법륜,111,1,['법륜스님']
스님,111,3,"['법륜스님', '스님의주례사', '스님의강연']"
답답하면물어라,109,0,[]
스님의주례사,109,0,[]
pomnyun,108,0,[]
정토회,107,0,[]
엄마수업,103,0,[]
buddhism,103,0,[]
새로운100년,102,0,[]
buddhahood,100,0,[]
buddha,100,1,['buddhahood']
기도,100,5,"['기도문', '수원기도원', '흰돌산기도원', '바라문의기도', '기도회']"
gautama,100,0,[]
여성,79,1,['30대여성']
희망세상만들기,69,0,[]
30대,59,1,['30대여성']
50대,46,0,[]
40대,44,0,[]
생활,38,9,"['불규칙한생활', '일과생활의균형', '부부생활', '생활사', '실생활', '직장생활', '회사생활', '공무원생활', '생활법령']"
가정사,34,0,[]
남성,30,1,['중년남성']
개인수행,28,0,[]
20대,26,0,[]
이혼,23,7,"['이혼전담팀', '위자료수억받고이혼하면되지?', '이혼은통쾌해야합니다', '이혼위자료', '이혼하고싶다던사람부인입니다', '황혼이혼', '이혼가정청소년']"
결혼,20,12,"['결혼적령기', '결혼할여자', '결혼하는꿈', '결혼의의미', '결혼에집착하는이유', '결혼에대한준비', '결혼위기', '두번째결혼', '늦은결혼', '14년결혼', '결혼반지', '친구의결혼']"
본인,20,0,[]
인간관계,19,2,"['인간관계원칙', '좋은인간관계']"
자식,17,3,"['자식관계', '자식걱정', '부모자식']"
예수님,17,0,[]
육아,16,1,['육아교육']
부부관계,16,0,[]
마음,16,20,"['마음가짐', '마음나누기', '마음수련', '마음챙김', '마음사랑', '수행은마음으로', '마음의작용', '마음의자세', '절을하는마음의자세', '마음작용', '마음을숙인다', '마음수행', '습관이마음대로안바뀌어요', '가족관계에서생기는마음의상처', '마음다스리기', '마음다스리는법', '마음다스림', '마음의여유', '마음의안정', '마음의안정을찾는법']"
성격,15,9,"['다혈질성격고치기', '성격대물림', '다혈질성격', '털털한성격', '성격문제', '의존적인성격', '성격차이', '성격고치기', '얍삽한성격']"
친구,13,12,"['여자친구', '헤어진남자친구미련', '현명한여자친구', '남자친구와동거', '남자친구', '남자친구무관심', '믿음이깨진여자친구', '여자친구사귀기', '여자친구소개시켜줘', '자살을하려는친구', '친구에대한부러움', '친구의결혼']"
연애,13,4,"['연애잘하는법', '자유로운연애중', '자유로운연애', '좋은연애']"
교육,12,4,"['진정한교육', '한부모가정교육', '육아교육', '부모교육']"
아이,12,7,"['아이들', '딸아이가가슴을아프게합니다', '유망사업아이템', '두아이', '영적인아이', '특별한아이', '부부싸움이아이에게미치는영향']"
갈등,11,2,"['내적갈등', '고부간갈등']"
하나님,11,1,['모든사람은하나님의사랑하는아들딸이다']
재산,11,1,['재산포기']
종교,11,2,"['종교연합사무실', '종교지도자']"
남편,11,14,"['전남편', '백수남편', '집에서노는남편', '돈안벌고집에만있는남편', '남편이착해요', '남편과잠자리', '남편과대화하기싫어요', '남편과대화단절', '남편과대화', '남편들이좋아하는말', '바람핀남편', '남편폭력', '남편의바람', '남편과싸움']"
공무원,10,2,"['공무원시험', '공무원생활']"
청년,10,2,"['연세중앙교회청년회', '청년회']"
괴로움,10,0,[]
행복,10,7,"['행복학교', '행복하게사시길바랍니다', '행복으로나아가는길', '모든사람은행복할수있다', '행복해지는길', '행복할권리', '행복할수있다']"
꿈,10,4,"['개꿈', '꿈뇌과학', '꿈은왜꿀까', '결혼하는꿈']"
외로움,9,0,[]
직장,9,2,"['직장상사', '직장생활']"
사랑,9,4,"['마음사랑', '부모님의사랑', '지인아사랑해', '모든사람은하나님의사랑하는아들딸이다']"
가족,9,2,"['가족관계에서생기는마음의상처', '다른가족']"
애인,9,4,"['어머니애인찾아나선효자', '애인대행', '엄마애인', '새로운애인']"
고통,9,0,[]
여자,9,14,"['여자친구', '아빠없이자란여자', '다혈질여자', '결혼할여자', '현명한여자인증', '좋은여자', '현명한여자가되는법', '현명한여자친구', '현명한여자', '여자밀당대처법', '믿음이깨진여자친구', '여자친구사귀기', '여자친구소개시켜줘', '남자와여자']"
60대,9,0,[]
시어머니,9,0,[]
뒷담화,9,1,['뒷담화대처법']
욕심,9,1,['욕심내려놓기']
다혈질,8,4,"['다혈질성격고치기', '다혈질여자', '다혈질성격', '다혈질아내']"
여자친구,8,4,"['현명한여자친구', '믿음이깨진여자친구', '여자친구사귀기', '여자친구소개시켜줘']"
사주,8,1,['사주팔자']
카르마,8,0,[]
찬양,8,0,[]
부모,8,20,"['부모관계', '부모님', '부모원망', '부모님용돈', '한부모가정교육', '편부모', '편부모가정', '한부모가정', '장애부모', '장애아부모로산다는것', '부모자식', '부모불화', '부모님의기대', '부모님의사랑', '부모님의대한감사함', '부모워망', '부모님선물', '부모교육', '부모님야단', '친정부모님제사']"
망상,8,1,['사망상속']
기독교,8,6,"['기독교방송', '기독교간증', '기독교영상', 'cts기독교tv', '기독교텔레비전', '시온기독교선교센터']"
학생,8,3,"['대학생', '초등학생', '고등학생']"
108배,8,0,[]
인생,8,1,['인생실패사례']
심리,8,8,"['심리상담', '불안심리', '심리학', '상담심리치료', '심리상담치료', '심리치료', '심리억압', '심리불안']"
어머니,8,7,"['시어머니', '어머니애인찾아나선효자', '홀로키워주신어머니', '혼자계실어머니걱정돼요', '친정어머니이사', '어머니의자세', '친정어머니제사']"
주변에서욕,7,0,[]
중생,7,0,[]
전남편,7,0,[]
공즉시색,7,0,[]
석천사,7,0,[]
분별심,7,0,[]
의상조사법성게,7,0,[]
색,7,4,"['공즉시색', '색즉시공', '망막색소변성증', '친북좌파일색인역사교과서내용']"
인식,7,0,[]
도,7,25,"['기도', '공부못해도성공', '삼일절13시태극기집회상황언론보도', '전도', '기도문', '배우자외도', '외도', '수원기도원', '흰돌산기도원', '전도몽상', '그리스도', '질풍노도', '시도', '불도', '바라문의기도', '기도회', '도전', '온라인도박', '도박', '상속제도', '북한핵도발', '한반도에서전쟁이나면', '도박중독', '北과전쟁나수천명죽어도한국에서', '종교지도자']"
색즉시공,7,0,[]
법성게,7,1,['의상조사법성게']
인연,7,3,"['인연의원리', '인연법', 'nk지식인연대']"
불수자성수연성,7,0,[]
크다작다,7,0,[]
헐뜯기,7,0,[]
뒷담화대처법,7,0,[]
수다,7,0,[]
나쁘다,7,0,[]
[none],7,0,[]
담화,7,2,"['뒷담화', '뒷담화대처법']"
트라우마,7,0,[]
며느리,7,0,[]
무의식,7,0,[]
절대적인것과상대적인것,7,0,[]
담임,7,0,[]
뒷이야기,7,0,[]
사업,6,3,"['유망사업아이템', '한국에서뜨는사업', '정신건강사업']"
이성,6,0,[]
진로,6,1,['진로결정']
피해,6,2,"['피해의식치료', '피해의식']"
아이들,6,0,[]
미안함,6,0,[]
집착,6,1,['결혼에집착하는이유']
딸,6,10,"['딸아이가가슴을아프게합니다', '동거하는딸', '속타는딸', '불량한딸', '딸의삶', '철없는딸', '딸들에게화가나요', '딸부잣집', '맏딸', '모든사람은하나님의사랑하는아들딸이다']"
말씀,6,1,['유기성목사님설교강해강론말씀']
불법,6,2,"['불법승', '김경수에2700만원불법후원']"
부부상담,6,0,[]
여,6,21,"['여성', '여자', '여자친구', '아빠없이자란여자', '다혈질여자', '결혼할여자', '현명한여자인증', '좋은여자', '현명한여자가되는법', '드루킹댓글조작여론조작', '현명한여자친구', '현명한여자', '동남아여행', '여자밀당대처법', '믿음이깨진여자친구', '여자친구사귀기', '여자친구소개시켜줘', '여유', '마음의여유', '30대여성', '남자와여자']"
예수,6,2,"['예수님', '예수피']"
아파트평수,6,0,[]
가정,6,7,"['가정사', '가정형편', '이혼가정청소년', '한부모가정교육', '편부모가정', '한부모가정', '가정불화']"
업식,6,0,[]
대물림,6,1,['성격대물림']
열등의식,6,0,[]
불행,6,1,['내적불행']
가정형편,6,0,[]
마음가짐,6,0,[]
부부싸움,6,2,"['부부싸움유머', '부부싸움이아이에게미치는영향']"
시인,5,1,['시인의시']
아버지에대한죄책감,5,0,[]
새로운시작,5,0,[]
평양올림픽,5,0,[]
긍정적사고,5,0,[]
긍정적,5,3,"['긍정적사고', '긍정적인사람', '긍정적생각']"
평창올림픽총체적부실,5,0,[]
미련버리기,5,0,[]
헤어진남자친구미련,5,0,[]
금강산공연취소통보,5,0,[]
희망,5,1,['희망세상만들기']
책임,5,1,['사회적책임']
직업에는귀천이없다,5,0,[]
황교안지원유세의미,5,0,[]
홍준표유세중단사태,5,0,[]
아버지,5,4,"['아버지에대한죄책감', '홀로계신아버지가걱정이에요', '아버지의폭력', '친정아버지제사']"
돈에미친세상,5,0,[]
건강상태,5,0,[]
연인,5,0,[]
불규칙한생활,5,0,[]
부모관계,5,0,[]
평창올림픽,5,1,['평창올림픽총체적부실']
교회,5,4,"['선한목자교회', '연세중앙교회청년회', '연세중앙교회', '오륜교회']"
개꿈,5,0,[]
만성피로,5,0,[]
삶의질,5,0,[]
공부못해도성공,5,0,[]
청소부,5,0,[]
우울,5,1,['우울증']
수면부족,5,0,[]
무기력증,5,0,[]
번뇌,5,0,[]
어떻게살아야하나요,5,0,[]
퇴사,5,0,[]
대한민국의사현실,5,0,[]
일과생활의균형,5,0,[]
교대근무,5,0,[]
