Educ_tags,number,overlap_num,overlap_word
[none],105,0,[]
영어,75,89,"['영어회화', '영어단어', '초급영어', '초보영어', '영어교육', '고급영어', '영어공부', '영어공부법', '영어회화강의', '영어회화패턴', '영국영어', '영어회화기초', '영어회화공부', '영어발음', '영어회화중급', '영어실력늘리기', '영어공부방법', '영어실력', '영어실력더빙', '인터뷰영어', '영어회화고급', '연예인영어실력', '스코틀랜드영어', '영어실력테스트', '영어회화단어', '영어실력기초', '영어회화기본', '영어듣기', '영어회화강좌', '영어실력향상', '기성용영어', '영어회화문법', '강성태영어', '영어어원', '강성태영어어원', '생활영어', '영어발음차이', '영어기초', '영어문법', '영어발음노래', '임재범영어', '영어노래', '영어발음연습', '영국식영어', '영어발음연예인', '영어발음교정', '영어발음좋은배우', '연예인영어', '영어발음공부', '영어듣고따라하기', '영어듣기영화', '영어듣기평가', '영어듣기공부', '미드영어공부법', '영어듣기연습', '영어회화동영상', '원어민영어', '영화영어회화', '영어영화', '영화영어공부', '영어회화잘하는법', '영화영어자막', '미드영어공부', '영어듣기&읽기', '미드영어', '영어듣기자료', '영어회화미드', '영어듣기잘하는방법', '영어듣기공부법', '미드영어회화', '영화영어', '영어회화영화', '영어조정식', '수능영어인강', '영어인강', '수능영어', '정현영어', '정현영어실력', '정현영어인터뷰', '실전영어회화', '생활영어회화', '영어잘하는법', '영어잘하기', '영어샌생님', '영어독학', '영어번역', '영어강사', '영어학원', '실전영어공부']"
문재인,73,0,[]
김정은,72,2,"['김정은이설주', '김정은남북정상회담']"
영어회화,71,18,"['영어회화강의', '영어회화패턴', '영어회화기초', '영어회화공부', '영어회화중급', '영어회화고급', '영어회화단어', '영어회화기본', '영어회화강좌', '영어회화문법', '영어회화동영상', '영화영어회화', '영어회화잘하는법', '영어회화미드', '미드영어회화', '영어회화영화', '실전영어회화', '생활영어회화']"
영어단어,63,0,[]
bj,62,2,"['bj디바제시카', 'bj제시카']"
영단어암기,60,0,[]
사건파일,60,1,['금요사건파일']
인터넷강의,60,0,[]
카카오톡,60,0,[]
카카오tv,60,0,[]
초급영어,60,0,[]
초보영어,60,0,[]
토요미스테리,60,0,[]
영어교육,60,0,[]
미스테리,60,1,['토요미스테리']
bj디바제시카,60,0,[]
잡지식,60,0,[]
디바,60,2,"['bj디바제시카', '디바제시카']"
미국문화,60,0,[]
인터넷방송,60,0,[]
디바제시카,60,1,['bj디바제시카']
인강,60,3,"['수학인강', '수능영어인강', '영어인강']"
제시카,60,3,"['bj디바제시카', '디바제시카', 'bj제시카']"
jessica,60,1,['deevajessica']
bj제시카,60,0,[]
deevajessica,60,0,[]
금요사건파일,60,0,[]
accent,60,0,[]
고급영어,60,0,[]
영단어,60,1,['영단어암기']
북한,59,0,[]
트럼프,59,3,"['이스라엘건국70주년과트럼프의미국대사관예루살렘이전의미', '트럼프의예루살렘수도인정의의미', '트럼프이란핵협정파기와성경예언에따른이란의최종운명']"
미국,56,5,"['미국문화', '미국대사관', '이스라엘건국70주년과트럼프의미국대사관예루살렘이전의미', '영국식미국식', '임재범미국']"
한국,55,9,"['한국사', '한국어', '한국축구선수', '한국축구', '한국축구레전드', '어서와한국은처음이지22', '한국땅', '한국gm', '한국경제']"
대통령,53,0,[]
정치,53,1,['국제정치']
김정일,51,0,[]
선거,51,0,[]
주사파,51,0,[]
중국,51,1,['남중국해']
종북,51,1,['종북좌파']
김일성,51,0,[]
일본,47,3,"['일본어공부', '일본인', '일본어']"
경제,45,13,"['경제수역', '생존경제', '최진기의생존경제', '경제전망', '경제학', '버블경제', '경제분석', '경제지표', '경제이슈', '경제성장률', '한국경제', '세계경제', '최진기의경제전망']"
김무성,43,0,[]
청와대,43,0,[]
대한민국,42,1,['축구대한민국']
미사일,42,1,['괴물미사일']
김미경,41,7,"['김미경강사', '강사김미경', '김미경tv', '스타강사김미경', '어쩌다어른김미경', '김미경강의', '유튜브김미경tv']"
탄핵소추,40,0,[]
촛불집회,40,0,[]
헌재,40,0,[]
김기춘,40,0,[]
경찰,40,0,[]
예방타격,40,0,[]
언론,40,0,[]
조선일보,40,0,[]
손석희,40,0,[]
불기소,40,0,[]
통일,40,3,"['평화통일', '적화통일', '남북통일']"
국회의원,40,0,[]
평화통일,40,0,[]
donaldtrump,40,0,[]
대한문,40,0,[]
국가,40,0,[]
전교조,40,0,[]
우익,40,0,[]
유승민,40,0,[]
계엄령,40,0,[]
노조,40,0,[]
반미,40,0,[]
국회,40,1,['국회의원']
잠수함,40,0,[]
변희재,40,0,[]
데모,40,0,[]
최순실게이트,40,0,[]
사회,40,2,"['사회문화', '사회탐구영역']"
적화통일,40,0,[]
koreawar,40,0,[]
야당,40,0,[]
우파,40,0,[]
시청앞,40,0,[]
매티스,40,0,[]
좌파,40,1,['종북좌파']
촛불시위,40,0,[]
진보파,40,0,[]
선제타격,40,0,[]
여당,40,0,[]
안철수,40,0,[]
박원순,40,0,[]
민주노총,40,0,[]
정규재,40,0,[]
친일,40,0,[]
주한미군,40,0,[]
친공,40,0,[]
친북,40,0,[]
친미,40,1,['친미파']
김진태,40,0,[]
5.18,40,0,[]
좌익,40,0,[]
신문기자,40,0,[]
방송,40,3,"['인터넷방송', '공부방송', '하늘문화방송']"
반공,40,0,[]
전시작전통제권,40,0,[]
박근혜,40,0,[]
반일,40,0,[]
지만원,40,0,[]
태영호,40,0,[]
usa,40,0,[]
신문사,40,0,[]
태극기집회,40,0,[]
홍준표,40,0,[]
정호성,40,0,[]
헌법재판소,40,0,[]
신문,40,2,"['신문기자', '신문사']"
시위,40,1,['촛불시위']
황교안,40,0,[]
헌법재판관,40,0,[]
광화문,40,0,[]
공산주의자,40,0,[]
공산주의,40,1,['공산주의자']
핵무기,40,1,['이란핵무기']
탈북자,40,0,[]
국정농단,40,0,[]
민정수석,40,0,[]
동아일보,40,0,[]
허위보도,40,0,[]
중앙일보,40,0,[]
탄핵,40,1,['탄핵소추']
보수파,40,0,[]
이춘근,40,0,[]
노동조합,40,0,[]
mattis,40,0,[]
기소,40,2,"['불기소', '특목고자기소개서']"
검찰,40,0,[]
참수작전,40,0,[]
종북좌파,40,0,[]
김미경강사,38,0,[]
신의한수,36,0,[]
류여해,36,0,[]
강사김미경,35,1,['스타강사김미경']
포크포크,34,0,[]
감동,34,0,[]
김미경tv,33,1,['유튜브김미경tv']
asmr,25,4,"['강성태asmr', '공부할때asmr', '공부할때듣는asmr', '공신asmr']"
따독,21,2,"['언니의따독', '따독쇼']"
언니의따끈따끈독설,19,0,[]
역사,18,0,[]
김정민,18,1,['김정민박사']
따끈따끈독설,17,1,['언니의따끈따끈독설']
mbc,17,1,['hmbc']
비트코인,16,1,['비트코인선물']
간호사,16,2,"['의사간호사연애', '의사간호사']"
응급실,15,6,"['응급실24', '응급실24시', '응급실의사', '닥터스응급실24', '극한직업응급실', '극한직업응급실의사']"
응급의료센터,15,0,[]
외상센터,15,0,[]
닥터스,15,1,['닥터스응급실24']
인턴,15,1,['의사인턴']
엄마,15,2,"['엄마의자존감공부', '엄마의자존감공주']"
중증외상,15,0,[]
한국사,15,0,[]
응급의학과,15,1,['최석재응급의학과']
레지던트,15,1,['의사레지던트']
의사,15,29,"['의사영화', '의사선생님', '의사직업', '의사인터뷰', '의사진로', '의사다큐', '의사연봉', '최석재의사', '의사드라마', '의사유튜버', '의사생활', '의사적성', '의사간호사연애', '의사공부', '의사인턴', '의사간호사', '의사남친', '의사되는법', '응급실의사', '의사청진기', '의사일상', '의사좋은사람', '의사봉사', '의사남궁인', '의사레지던트', '남궁인의사', '극한직업응급실의사', '의사죄책감', '주의사항']"
전공의,15,0,[]
외상외과,15,0,[]
닥터헬기,15,0,[]
